,popularity,title,vote_average,vote_count,vote_total,runtime_minutes,genre,production_budget,worldwide_gross,worldwide_profit,release_date,percent_returns
101,13.508,The Other Guys,6.2,2187,13559.4,107.0,Crime,100000000,170936470,70936470,2010-08-06,170.93647
102,13.476,The Town,7.1,2386,16940.6,125.0,Crime,37000000,152566881,115566881,2010-09-17,412.3429216216216
103,13.476,The Town,7.1,2386,16940.6,125.0,Drama,37000000,152566881,115566881,2010-09-17,412.3429216216216
104,13.476,The Town,7.1,2386,16940.6,125.0,Thriller,37000000,152566881,115566881,2010-09-17,412.3429216216216
105,13.467,Jonah Hex,4.6,708,3256.7999999999997,81.0,Action,47000000,11022696,-35977304,2010-06-18,23.452544680851066
106,13.467,Jonah Hex,4.6,708,3256.7999999999997,81.0,Drama,47000000,11022696,-35977304,2010-06-18,23.452544680851066
107,13.467,Jonah Hex,4.6,708,3256.7999999999997,81.0,Fantasy,47000000,11022696,-35977304,2010-06-18,23.452544680851066
108,13.118,True Grit,7.2,2816,20275.2,110.0,Adventure,35000000,252276928,217276928,2010-12-22,720.7912228571429
109,13.118,True Grit,7.2,2816,20275.2,110.0,Drama,35000000,252276928,217276928,2010-12-22,720.7912228571429
110,13.118,True Grit,7.2,2816,20275.2,110.0,Western,35000000,252276928,217276928,2010-12-22,720.7912228571429
111,13.102,I Spit on Your Grave,6.3,977,6155.099999999999,108.0,Horror,1750000,1278471,-471529,2010-10-08,73.05548571428572
112,13.102,I Spit on Your Grave,6.3,977,6155.099999999999,108.0,Thriller,1750000,1278471,-471529,2010-10-08,73.05548571428572
113,13.08,Kick-Ass,7.1,7540,53534.0,117.0,Action,28000000,97531134,69531134,2010-04-16,348.32547857142856
114,13.08,Kick-Ass,7.1,7540,53534.0,117.0,Comedy,28000000,97531134,69531134,2010-04-16,348.32547857142856
115,13.025,Salt,6.3,3240,20412.0,100.0,Action,130000000,290650494,160650494,2010-07-23,223.57730307692307
116,13.025,Salt,6.3,3240,20412.0,100.0,Mystery,130000000,290650494,160650494,2010-07-23,223.57730307692307
117,13.025,Salt,6.3,3240,20412.0,100.0,Thriller,130000000,290650494,160650494,2010-07-23,223.57730307692307
118,0.632,Salt,1.0,1,1.0,100.0,Action,130000000,290650494,160650494,2012-08-06,223.57730307692307
119,0.632,Salt,1.0,1,1.0,100.0,Mystery,130000000,290650494,160650494,2012-08-06,223.57730307692307
120,0.632,Salt,1.0,1,1.0,100.0,Thriller,130000000,290650494,160650494,2012-08-06,223.57730307692307
121,12.65,Tooth Fairy,5.3,1058,5607.4,101.0,Comedy,48000000,112610386,64610386,2010-01-22,234.6049708333333
122,12.65,Tooth Fairy,5.3,1058,5607.4,101.0,Family,48000000,112610386,64610386,2010-01-22,234.6049708333333
123,12.65,Tooth Fairy,5.3,1058,5607.4,101.0,Fantasy,48000000,112610386,64610386,2010-01-22,234.6049708333333
124,12.557,Machete,6.3,1862,11730.6,105.0,Action,12500000,46370970,33870970,2010-09-03,370.96776
125,12.557,Machete,6.3,1862,11730.6,105.0,Crime,12500000,46370970,33870970,2010-09-03,370.96776
126,12.557,Machete,6.3,1862,11730.6,105.0,Thriller,12500000,46370970,33870970,2010-09-03,370.96776
127,12.498,Date Night,6.0,1743,10458.0,88.0,Comedy,55000000,152269033,97269033,2010-04-08,276.8527872727273
